shipment_id,request_date,origin_hub,carrier,pickup_status,pickup_duration_hours
SHP100000,2026-06-16,Khulna Hub,Sundarban Courier,Cancelled,
SHP100001,2025-11-09,Narayanganj Hub,Pathao Courier,Completed,1.88
SHP100002,2026-06-06,Dhaka Hub,Pathao Courier,Completed,2.52
SHP100003,2025-09-03,Sylhet Hub,RedX,Completed,2.15
SHP100004,2026-06-03,Dhaka Hub,eCourier,Completed,3.05
SHP100005,2026-05-31,Dhaka Hub,Pathao Courier,Failed,2.01
SHP100006,2026-05-29,Rangpur Hub,Pathao Courier,Completed,2.63
SHP100007,2026-04-19,Rangpur Hub,Sundarban Courier,Completed,4.85
SHP100008,2026-02-11,Comilla Hub,Steadfast Courier,Completed,2.41
SHP100009,2026-05-02,Khulna Hub,Pathao Courier,Pending,
SHP100010,2025-12-05,Dhaka Hub,Steadfast Courier,Completed,2.38
SHP100011,2026-05-29,Chattogram Hub,Steadfast Courier,Completed,2.69
SHP100012,2026-03-12,Rajshahi Hub,Sundarban Courier,Failed,3.36
SHP100013,2026-02-06,Rajshahi Hub,eCourier,Completed,0.93
SHP100014,2026-02-22,Dhaka Hub,RedX,Completed,2.54
SHP100015,2026-03-16,Comilla Hub,RedX,Completed,1.73
SHP100016,2025-09-13,Comilla Hub,Sundarban Courier,Cancelled,
SHP100017,2025-10-19,Rangpur Hub,eCourier,Completed,2.81
SHP100018,2025-11-24,Dhaka Hub,eCourier,Completed,1.55
SHP100019,2025-10-10,Chattogram Hub,eCourier,Completed,4.2
SHP100020,2026-01-31,Barisal Hub,Steadfast Courier,Cancelled,
SHP100021,2026-04-20,Chattogram Hub,Sundarban Courier,Failed,3.99
SHP100022,2026-04-15,Chattogram Hub,eCourier,Completed,4.13
SHP100023,2026-02-10,Rajshahi Hub,Steadfast Courier,Completed,3.3
SHP100024,2026-06-23,Dhaka Hub,Pathao Courier,Completed,2.63
SHP100025,2026-03-15,Dhaka Hub,Pathao Courier,Completed,1.74
SHP100026,2025-09-28,Dhaka Hub,Sundarban Courier,Completed,2.72
SHP100027,2026-05-23,Dhaka Hub,eCourier,Completed,2.1
SHP100028,2026-03-18,Sylhet Hub,Sundarban Courier,Completed,3.44
SHP100029,2026-04-08,Mymensingh Hub,eCourier,Completed,1.65
SHP100030,2026-03-15,Dhaka Hub,Pathao Courier,Completed,2.31
SHP100031,2026-03-11,Chattogram Hub,Sundarban Courier,Completed,4.38
SHP100032,2025-10-02,Dhaka Hub,RedX,Pending,
SHP100033,2026-03-13,Sylhet Hub,Pathao Courier,Completed,2.49
SHP100034,2026-06-03,Dhaka Hub,Steadfast Courier,Completed,2.91
SHP100035,2025-12-15,Chattogram Hub,Pathao Courier,Completed,4.12
SHP100036,2026-03-28,Mymensingh Hub,Steadfast Courier,Completed,3.36
SHP100037,2025-09-11,Comilla Hub,Pathao Courier,Pending,
SHP100038,2025-12-30,Chattogram Hub,Steadfast Courier,Completed,3.43
SHP100039,2026-01-30,Chattogram Hub,RedX,Completed,2.86
SHP100040,2026-08-07,Rangpur Hub,Pathao Courier,Completed,2.67
SHP100041,2025-11-14,Barisal Hub,Pathao Courier,Cancelled,
SHP100042,2025-12-05,Chattogram Hub,Pathao Courier,Completed,3.83
SHP100043,2026-01-20,Comilla Hub,RedX,Completed,1.97
SHP100044,2026-08-10,Sylhet Hub,eCourier,Failed,4.38
SHP100045,2026-06-23,Comilla Hub,Sundarban Courier,Completed,3.79
SHP100046,2025-09-13,Comilla Hub,Sundarban Courier,Completed,2.91
SHP100047,2025-11-20,Narayanganj Hub,RedX,Completed,0.77
SHP100048,2026-06-12,Dhaka Hub,RedX,Completed,2.71
SHP100049,2025-09-21,Dhaka Hub,RedX,Completed,1.58
SHP100050,2026-06-24,Chattogram Hub,Sundarban Courier,Completed,4.88
SHP100051,2025-12-07,Rangpur Hub,eCourier,Completed,2.74
SHP100052,2026-07-15,Chattogram Hub,Steadfast Courier,Completed,4.35
SHP100053,2025-12-11,Dhaka Hub,Sundarban Courier,Completed,2.4
SHP100054,2026-01-29,Chattogram Hub,Pathao Courier,Completed,2.89
SHP100055,2026-04-18,Chattogram Hub,Pathao Courier,Completed,3.77
SHP100056,2025-10-14,Mymensingh Hub,RedX,Completed,2.51
SHP100057,2026-03-12,Narayanganj Hub,Sundarban Courier,Completed,2.81
SHP100058,2026-02-22,Chattogram Hub,Steadfast Courier,Completed,3.99
SHP100059,2026-05-30,Dhaka Hub,RedX,Cancelled,
SHP100060,2026-08-11,Barisal Hub,RedX,Completed,3.47
SHP100061,2026-04-18,Sylhet Hub,eCourier,Completed,4.15
SHP100062,2026-01-20,Sylhet Hub,Pathao Courier,Completed,3.13
SHP100063,2026-01-19,Chattogram Hub,eCourier,Completed,3.6
SHP100064,2026-01-23,Sylhet Hub,Pathao Courier,Completed,3.26
SHP100065,2026-06-09,Dhaka Hub,RedX,Completed,2.12
SHP100066,2025-12-21,Rajshahi Hub,Steadfast Courier,Completed,2.41
SHP100067,2025-10-28,Comilla Hub,eCourier,Completed,1.98
SHP100068,2025-12-25,Comilla Hub,eCourier,Completed,2.91
SHP100069,2025-09-08,Barisal Hub,Sundarban Courier,Pending,
SHP100070,2025-10-07,Chattogram Hub,eCourier,Completed,4.57
SHP100071,2025-10-02,Comilla Hub,RedX,Completed,2.12
SHP100072,2026-05-25,Rajshahi Hub,RedX,Completed,2.97
SHP100073,2026-05-08,Khulna Hub,Pathao Courier,Completed,2.26
SHP100074,2026-04-30,Chattogram Hub,Pathao Courier,Completed,4.65
SHP100075,2026-02-07,Rangpur Hub,RedX,Completed,2.45
SHP100076,2026-05-07,Rangpur Hub,Pathao Courier,Pending,
SHP100077,2025-10-26,Khulna Hub,eCourier,Completed,3.23
SHP100078,2026-07-09,Chattogram Hub,eCourier,Completed,4.03
SHP100079,2026-02-21,Chattogram Hub,Steadfast Courier,Completed,3.77
SHP100080,2026-07-22,Rajshahi Hub,Pathao Courier,Completed,2.92
SHP100081,2025-10-23,Dhaka Hub,Steadfast Courier,Completed,1.49
SHP100082,2026-02-20,Sylhet Hub,Pathao Courier,Cancelled,
SHP100083,2026-04-29,Dhaka Hub,Sundarban Courier,Completed,2.68
SHP100084,2026-02-19,Rangpur Hub,eCourier,Completed,3.04
SHP100085,2026-02-02,Chattogram Hub,Pathao Courier,Completed,4.28
SHP100086,2025-10-28,Sylhet Hub,Pathao Courier,Completed,3.31
SHP100087,2026-01-10,Comilla Hub,Pathao Courier,Completed,0.77
SHP100088,2025-11-22,Chattogram Hub,RedX,Completed,2.79
SHP100089,2025-12-14,Sylhet Hub,eCourier,Completed,2.86
SHP100090,2026-04-25,Chattogram Hub,Pathao Courier,Completed,2.35
SHP100091,2026-04-07,Rangpur Hub,Pathao Courier,Completed,2.31
SHP100092,2026-03-30,Sylhet Hub,RedX,Completed,3.39
SHP100093,2026-01-04,Sylhet Hub,Pathao Courier,Completed,3.89
SHP100094,2026-07-30,Sylhet Hub,eCourier,Completed,4.09
SHP100095,2025-10-01,Barisal Hub,Steadfast Courier,Completed,3.27
SHP100096,2025-12-28,Khulna Hub,eCourier,Completed,3.4
SHP100097,2025-10-11,Sylhet Hub,Steadfast Courier,Cancelled,
SHP100098,2025-12-27,Rajshahi Hub,RedX,Completed,2.12
SHP100099,2026-07-30,Rajshahi Hub,eCourier,Completed,2.1
SHP100100,2026-01-05,Barisal Hub,Pathao Courier,Completed,3.12
SHP100101,2026-07-12,Sylhet Hub,Pathao Courier,Completed,2.91
SHP100102,2026-02-19,Narayanganj Hub,RedX,Completed,1.08
SHP100103,2026-05-01,Khulna Hub,Pathao Courier,Completed,2.71
SHP100104,2026-02-06,Rangpur Hub,Steadfast Courier,Completed,2.82
SHP100105,2025-12-01,Sylhet Hub,RedX,Completed,3.59
SHP100106,2026-05-23,Chattogram Hub,Steadfast Courier,Completed,3.58
SHP100107,2026-08-02,Khulna Hub,Sundarban Courier,Failed,3.51
SHP100108,2025-12-01,Khulna Hub,Sundarban Courier,Completed,1.92
SHP100109,2026-05-28,Chattogram Hub,eCourier,Failed,4.66
SHP100110,2025-11-30,Rangpur Hub,Pathao Courier,Pending,
SHP100111,2026-05-07,Sylhet Hub,RedX,Completed,2.3
SHP100112,2026-05-31,Rajshahi Hub,RedX,Completed,2.86
SHP100113,2026-02-03,Chattogram Hub,Steadfast Courier,Completed,5.17
SHP100114,2026-05-13,Sylhet Hub,eCourier,Completed,3.34
SHP100115,2025-12-04,Chattogram Hub,Pathao Courier,Completed,4.68
SHP100116,2025-09-28,Chattogram Hub,Sundarban Courier,Completed,3.7
SHP100117,2025-10-04,Barisal Hub,RedX,Completed,3.02
SHP100118,2026-02-02,Dhaka Hub,Pathao Courier,Completed,0.5
SHP100119,2026-07-10,Dhaka Hub,Sundarban Courier,Cancelled,
SHP100120,2025-10-15,Chattogram Hub,Sundarban Courier,Completed,3.82
SHP100121,2026-02-05,Dhaka Hub,Pathao Courier,Completed,0.76
SHP100122,2026-05-02,Dhaka Hub,RedX,Failed,2.19
SHP100123,2025-11-10,Mymensingh Hub,Pathao Courier,Completed,2.77
SHP100124,2026-05-08,Dhaka Hub,RedX,Completed,1.72
SHP100125,2025-12-15,Rajshahi Hub,Pathao Courier,Completed,2.29
SHP100126,2026-06-07,Sylhet Hub,eCourier,Completed,4.97
SHP100127,2026-03-20,Dhaka Hub,Pathao Courier,Cancelled,
SHP100128,2026-03-09,Chattogram Hub,Steadfast Courier,Completed,3.39
SHP100129,2025-11-01,Dhaka Hub,Pathao Courier,Completed,2.88
SHP100130,2026-02-08,Dhaka Hub,RedX,Cancelled,
SHP100131,2026-06-24,Chattogram Hub,Sundarban Courier,Completed,5.89
SHP100132,2025-09-07,Rangpur Hub,Pathao Courier,Completed,1.52
SHP100133,2026-05-21,Chattogram Hub,Sundarban Courier,Completed,3.64
SHP100134,2026-02-18,Khulna Hub,eCourier,Completed,1.64
SHP100135,2026-05-07,Dhaka Hub,Steadfast Courier,Pending,
SHP100136,2026-04-18,Comilla Hub,Sundarban Courier,Completed,3.96
SHP100137,2026-01-28,Chattogram Hub,Pathao Courier,Completed,4.42
SHP100138,2025-12-16,Dhaka Hub,eCourier,Completed,2.87
SHP100139,2026-04-06,Chattogram Hub,RedX,Completed,4.34
SHP100140,2025-10-19,Narayanganj Hub,Pathao Courier,Completed,1.74
SHP100141,2026-03-22,Rajshahi Hub,eCourier,Completed,1.17
SHP100142,2025-10-03,Dhaka Hub,RedX,Completed,0.87
SHP100143,2026-04-13,Dhaka Hub,RedX,Completed,0.99
SHP100144,2026-04-06,Rangpur Hub,Sundarban Courier,Completed,1.88
SHP100145,2025-09-30,Mymensingh Hub,Sundarban Courier,Completed,1.77
SHP100146,2026-05-21,Dhaka Hub,Pathao Courier,Completed,1.48
SHP100147,2026-01-22,Chattogram Hub,eCourier,Completed,4.7
SHP100148,2026-05-31,Dhaka Hub,Pathao Courier,Completed,2.33
SHP100149,2025-09-15,Dhaka Hub,eCourier,Completed,3.53
SHP100150,2025-11-02,Dhaka Hub,eCourier,Completed,1.61
SHP100151,2026-02-18,Sylhet Hub,eCourier,Completed,4.0
SHP100152,2025-11-05,Dhaka Hub,Pathao Courier,Completed,3.04
SHP100153,2025-12-24,Barisal Hub,Pathao Courier,Failed,2.94
SHP100154,2026-04-17,Chattogram Hub,Sundarban Courier,Completed,4.58
SHP100155,2025-10-21,Chattogram Hub,RedX,Completed,4.43
SHP100156,2026-04-23,Narayanganj Hub,Steadfast Courier,Failed,2.16
SHP100157,2025-10-06,Chattogram Hub,Sundarban Courier,Failed,5.89
SHP100158,2025-10-31,Dhaka Hub,Steadfast Courier,Completed,1.32
SHP100159,2026-03-23,Chattogram Hub,Pathao Courier,Completed,4.8
SHP100160,2026-06-02,Sylhet Hub,Sundarban Courier,Completed,5.16
SHP100161,2025-10-30,Sylhet Hub,Pathao Courier,Completed,2.54
SHP100162,2025-12-13,Sylhet Hub,eCourier,Completed,3.53
SHP100163,2026-07-18,Chattogram Hub,Pathao Courier,Completed,2.8
SHP100164,2026-08-09,Khulna Hub,Pathao Courier,Completed,1.92
SHP100165,2026-03-21,Mymensingh Hub,eCourier,Completed,1.29
SHP100166,2026-02-02,Chattogram Hub,RedX,Completed,2.22
SHP100167,2025-12-30,Khulna Hub,Pathao Courier,Completed,1.39
SHP100168,2026-03-31,Mymensingh Hub,Pathao Courier,Completed,2.77
SHP100169,2026-03-24,Chattogram Hub,RedX,Completed,2.16
SHP100170,2025-12-11,Dhaka Hub,Sundarban Courier,Completed,3.79
SHP100171,2025-09-08,Sylhet Hub,Pathao Courier,Completed,3.85
SHP100172,2025-10-23,Khulna Hub,RedX,Pending,
SHP100173,2026-07-29,Mymensingh Hub,Pathao Courier,Completed,2.28
SHP100174,2026-01-23,Mymensingh Hub,RedX,Completed,3.08
SHP100175,2026-02-14,Rangpur Hub,Sundarban Courier,Completed,2.23
SHP100176,2026-02-09,Chattogram Hub,Pathao Courier,Completed,4.63
SHP100177,2026-05-29,Dhaka Hub,Pathao Courier,Completed,4.25
SHP100178,2025-09-23,Sylhet Hub,Pathao Courier,Completed,3.02
SHP100179,2025-09-29,Chattogram Hub,Pathao Courier,Completed,3.63
SHP100180,2025-12-05,Narayanganj Hub,Sundarban Courier,Completed,2.25
SHP100181,2026-02-16,Dhaka Hub,Steadfast Courier,Completed,2.41
SHP100182,2026-04-21,Khulna Hub,eCourier,Completed,2.77
SHP100183,2026-02-17,Chattogram Hub,Sundarban Courier,Completed,3.24
SHP100184,2026-01-31,Rangpur Hub,RedX,Completed,2.72
SHP100185,2026-07-22,Rajshahi Hub,RedX,Cancelled,
SHP100186,2025-10-26,Dhaka Hub,eCourier,Completed,1.86
SHP100187,2026-03-17,Barisal Hub,Pathao Courier,Completed,3.0
SHP100188,2026-03-07,Sylhet Hub,Sundarban Courier,Completed,4.87
SHP100189,2026-02-11,Rajshahi Hub,Sundarban Courier,Completed,2.28
SHP100190,2026-06-07,Dhaka Hub,Pathao Courier,Failed,2.64
SHP100191,2025-12-02,Khulna Hub,Sundarban Courier,Completed,3.22
SHP100192,2026-07-28,Khulna Hub,Steadfast Courier,Completed,4.15
SHP100193,2025-12-24,Dhaka Hub,Steadfast Courier,Completed,2.27
SHP100194,2026-03-08,Rajshahi Hub,Pathao Courier,Completed,1.82
SHP100195,2026-02-28,Comilla Hub,Sundarban Courier,Completed,3.3
SHP100196,2026-06-22,Dhaka Hub,Sundarban Courier,Completed,2.91
SHP100197,2026-01-30,Dhaka Hub,Sundarban Courier,Failed,3.97
SHP100198,2025-12-08,Chattogram Hub,RedX,Completed,4.57
SHP100199,2025-09-08,Khulna Hub,Pathao Courier,Completed,1.75
SHP100200,2026-01-04,Rangpur Hub,eCourier,Completed,2.7
SHP100201,2026-06-13,Rajshahi Hub,Steadfast Courier,Pending,
SHP100202,2025-09-04,Sylhet Hub,RedX,Failed,2.42
SHP100203,2026-07-08,Narayanganj Hub,RedX,Failed,0.5
SHP100204,2026-03-07,Chattogram Hub,RedX,Completed,4.65
SHP100205,2025-10-19,Rangpur Hub,Sundarban Courier,Completed,2.77
SHP100206,2025-12-14,Mymensingh Hub,Pathao Courier,Completed,1.73
SHP100207,2026-03-11,Dhaka Hub,RedX,Completed,3.94
SHP100208,2025-12-19,Dhaka Hub,Pathao Courier,Pending,
SHP100209,2025-10-08,Narayanganj Hub,eCourier,Pending,
SHP100210,2026-04-19,Chattogram Hub,Sundarban Courier,Completed,5.08
SHP100211,2026-04-21,Rajshahi Hub,Sundarban Courier,Completed,3.17
SHP100212,2025-10-12,Dhaka Hub,Sundarban Courier,Completed,2.4
SHP100213,2025-12-07,Rangpur Hub,Steadfast Courier,Completed,3.49
SHP100214,2025-11-24,Chattogram Hub,Pathao Courier,Completed,3.78
SHP100215,2026-04-17,Khulna Hub,Pathao Courier,Failed,2.34
SHP100216,2026-05-11,Dhaka Hub,Pathao Courier,Cancelled,
SHP100217,2026-05-10,Dhaka Hub,RedX,Completed,1.91
SHP100218,2026-07-22,Mymensingh Hub,Steadfast Courier,Completed,2.95
SHP100219,2026-05-24,Khulna Hub,Pathao Courier,Completed,2.95
SHP100220,2025-12-20,Rangpur Hub,Steadfast Courier,Completed,2.4
SHP100221,2025-10-08,Dhaka Hub,Pathao Courier,Completed,1.58
SHP100222,2026-04-01,Chattogram Hub,RedX,Failed,4.08
SHP100223,2026-07-14,Mymensingh Hub,Pathao Courier,Failed,2.25
SHP100224,2026-08-04,Khulna Hub,Sundarban Courier,Completed,3.63
SHP100225,2025-11-19,Rajshahi Hub,RedX,Completed,1.4
SHP100226,2025-11-21,Dhaka Hub,RedX,Failed,1.99
SHP100227,2025-09-13,Khulna Hub,Pathao Courier,Completed,2.88
SHP100228,2025-10-19,Barisal Hub,eCourier,Completed,3.35
SHP100229,2026-03-11,Dhaka Hub,Steadfast Courier,Completed,3.68
SHP100230,2026-03-09,Chattogram Hub,Sundarban Courier,Completed,6.03
SHP100231,2026-01-07,Dhaka Hub,RedX,Completed,1.86
SHP100232,2025-12-17,Narayanganj Hub,eCourier,Completed,2.39
SHP100233,2026-06-15,Comilla Hub,Pathao Courier,Completed,2.57
SHP100234,2026-02-07,Dhaka Hub,Steadfast Courier,Completed,2.48
SHP100235,2026-06-07,Mymensingh Hub,Sundarban Courier,Completed,3.57
SHP100236,2026-07-31,Khulna Hub,eCourier,Completed,2.03
SHP100237,2025-12-19,Narayanganj Hub,Pathao Courier,Completed,1.56
SHP100238,2025-11-10,Khulna Hub,Sundarban Courier,Completed,3.21
SHP100239,2026-07-27,Dhaka Hub,RedX,Completed,2.35
SHP100240,2026-04-08,Mymensingh Hub,RedX,Completed,1.9
SHP100241,2025-12-10,Comilla Hub,eCourier,Completed,3.36
SHP100242,2026-04-04,Khulna Hub,Steadfast Courier,Completed,3.47
SHP100243,2026-02-26,Chattogram Hub,Pathao Courier,Failed,4.19
