warehouse,city,sku,product,category,on_hand,reorder_point,unit_cost,stock_value,low_stock
Dhaka Hub,Dhaka,SKU1000,Wireless Earbuds,Electronics,492,109,3516.71,1730221.32,False
Dhaka Hub,Dhaka,SKU1001,Wireless Earbuds (V2),Electronics,167,106,2059.12,343873.04,False
Dhaka Hub,Dhaka,SKU1002,Power Bank,Electronics,241,132,3884.9,936260.9,False
Dhaka Hub,Dhaka,SKU1003,Power Bank (V2),Electronics,211,168,3183.55,671729.05,False
Dhaka Hub,Dhaka,SKU1004,Smartwatch,Electronics,46,157,559.67,25744.82,True
Dhaka Hub,Dhaka,SKU1005,Smartwatch (V2),Electronics,5,88,4393.96,21969.8,True
Dhaka Hub,Dhaka,SKU1006,Bluetooth Speaker,Electronics,750,166,3460.96,2595720.0,False
Dhaka Hub,Dhaka,SKU1007,Bluetooth Speaker (V2),Electronics,786,130,3569.38,2805532.68,False
Dhaka Hub,Dhaka,SKU1008,Phone Case,Electronics,110,198,707.29,77801.9,True
Dhaka Hub,Dhaka,SKU1009,Phone Case (V2),Electronics,608,132,2109.18,1282381.44,False
Dhaka Hub,Dhaka,SKU1010,Cotton T-Shirt,Apparel,614,100,1762.97,1082463.58,False
Dhaka Hub,Dhaka,SKU1011,Cotton T-Shirt (V2),Apparel,631,166,4181.43,2638482.33,False
Dhaka Hub,Dhaka,SKU1012,Panjabi,Apparel,111,64,2950.81,327539.91,False
Dhaka Hub,Dhaka,SKU1013,Panjabi (V2),Apparel,677,161,3729.01,2524539.77,False
Dhaka Hub,Dhaka,SKU1014,Sneakers,Apparel,234,136,2078.85,486450.9,False
Dhaka Hub,Dhaka,SKU1015,Sneakers (V2),Apparel,23,84,1138.49,26185.27,True
Dhaka Hub,Dhaka,SKU1016,Saree,Apparel,70,63,2562.44,179370.8,False
Dhaka Hub,Dhaka,SKU1017,Saree (V2),Apparel,110,66,427.61,47037.1,False
Dhaka Hub,Dhaka,SKU1018,Denim Jacket,Apparel,754,71,3750.2,2827650.8,False
Dhaka Hub,Dhaka,SKU1019,Denim Jacket (V2),Apparel,105,128,2897.74,304262.7,True
Dhaka Hub,Dhaka,SKU1020,Bedsheet Set,Home & Living,481,159,3447.68,1658334.08,False
Dhaka Hub,Dhaka,SKU1021,Bedsheet Set (V2),Home & Living,77,78,1692.19,130298.63,True
Dhaka Hub,Dhaka,SKU1022,Table Lamp,Home & Living,13,82,4372.54,56843.02,True
Dhaka Hub,Dhaka,SKU1023,Table Lamp (V2),Home & Living,152,173,4035.08,613332.16,True
Dhaka Hub,Dhaka,SKU1024,Non-stick Pan,Home & Living,472,91,3535.97,1668977.84,False
Dhaka Hub,Dhaka,SKU1025,Non-stick Pan (V2),Home & Living,94,175,996.68,93687.92,True
Dhaka Hub,Dhaka,SKU1026,Storage Box,Home & Living,570,73,2180.24,1242736.8,False
Dhaka Hub,Dhaka,SKU1027,Storage Box (V2),Home & Living,447,177,340.55,152225.85,False
Dhaka Hub,Dhaka,SKU1028,Curtain Set,Home & Living,216,162,821.16,177370.56,False
