shipment_id,order_code,package_code,order_date,origin_warehouse,destination_hub,destination_region,carrier,status,seller_code,shop_name,seller_region,weight_kg,pending_to_delivered_hours
SHP100000,ORD100000,PKG100000,2026-03-04,Dhaka Hub,Chattogram Hub,Chattogram,Pathao Courier,Delivered Late,SEL1012,Elite Traders,Dhaka,8.44,29.69
SHP100001,ORD100001,PKG100001,2025-09-16,Dhaka Hub,Barisal Hub,Barisal,eCourier,Delivered,SEL1010,Elite Gallery,Sylhet,11.09,30.78
SHP100002,ORD100002,PKG100002,2025-12-13,Dhaka Hub,Chattogram Hub,Chattogram,Sundarban Courier,Delivered,SEL1025,Metro Hub,Sylhet,5.98,49.77
SHP100003,ORD100003,PKG100003,2026-01-29,Sylhet DC,Rajshahi Hub,Rajshahi,Pathao Courier,Delivered,SEL1043,Smart Emporium,Barisal,1.37,27.56
SHP100004,ORD100004,PKG100004,2026-08-02,Khulna DC,Dhaka Hub,Dhaka,Sundarban Courier,Delivered,SEL1043,Smart Emporium,Barisal,9.24,41.74
SHP100005,ORD100005,PKG100005,2026-08-10,Chattogram DC,Mymensingh Hub,Mymensingh,eCourier,Delayed,SEL1011,Elite Outlet,Chattogram,0.32,38.32
SHP100006,ORD100006,PKG100006,2025-10-23,Dhaka Hub,Rangpur Hub,Rangpur,Sundarban Courier,Delivered,SEL1043,Smart Emporium,Barisal,9.22,38.26
SHP100007,ORD100007,PKG100007,2026-07-06,Rajshahi DC,Dhaka Hub,Dhaka,Steadfast Courier,Delivered,SEL1053,Trendy Store,Chattogram,1.2,33.92
SHP100008,ORD100008,PKG100008,2025-10-02,Khulna DC,Rajshahi Hub,Rajshahi,eCourier,Delivered,SEL1013,Elite Trading,Dhaka,1.46,24.48
SHP100009,ORD100009,PKG100009,2026-05-18,Khulna DC,Rajshahi Hub,Rajshahi,Steadfast Courier,Delivered,SEL1001,Bengal Emporium,Rangpur,9.42,26.25
SHP100010,ORD100010,PKG100010,2026-06-20,Sylhet DC,Rangpur Hub,Rangpur,Steadfast Courier,In Transit,SEL1057,Value Hub,Dhaka,8.34,30.32
SHP100011,ORD100011,PKG100011,2026-07-06,Sylhet DC,Rajshahi Hub,Rajshahi,Pathao Courier,Delivered Late,SEL1031,Prime Bazaar,Chattogram,6.83,21.64
SHP100012,ORD100012,PKG100012,2025-11-17,Dhaka Hub,Rajshahi Hub,Rajshahi,RedX,Delivered,SEL1046,Smart Traders,Comilla,9.88,23.16
SHP100013,ORD100013,PKG100013,2026-07-07,Dhaka Hub,Comilla Hub,Comilla,Pathao Courier,Delivered,SEL1019,Green Fashion House,Rajshahi,10.25,28.16
SHP100014,ORD100014,PKG100014,2025-10-11,Rajshahi DC,Barisal Hub,Barisal,Steadfast Courier,Delayed,SEL1017,Golden Outlet,Khulna,5.6,27.56
SHP100015,ORD100015,PKG100015,2026-02-27,Chattogram DC,Comilla Hub,Comilla,Pathao Courier,In Transit,SEL1013,Elite Trading,Dhaka,11.96,20.78
SHP100016,ORD100016,PKG100016,2026-02-10,Khulna DC,Comilla Hub,Comilla,RedX,Delivered,SEL1013,Elite Trading,Dhaka,4.42,26.24
SHP100017,ORD100017,PKG100017,2025-12-19,Khulna DC,Comilla Hub,Comilla,eCourier,Delivered,SEL1028,Modern Depot,Khulna,2.22,26.62
SHP100018,ORD100018,PKG100018,2025-09-08,Chattogram DC,Narayanganj Hub,Narayanganj,Pathao Courier,Delivered,SEL1006,Delta Store,Rajshahi,10.18,30.57
SHP100019,ORD100019,PKG100019,2026-05-26,Chattogram DC,Rangpur Hub,Rangpur,eCourier,Delivered,SEL1050,Suncity Retail,Chattogram,5.1,32.6
SHP100020,ORD100020,PKG100020,2025-12-26,Khulna DC,Barisal Hub,Barisal,Pathao Courier,Delivered,SEL1030,Nova Retail,Dhaka,10.52,29.27
SHP100021,ORD100021,PKG100021,2026-04-17,Dhaka Hub,Barisal Hub,Barisal,Sundarban Courier,Delivered,SEL1054,Trendy Trading,Narayanganj,0.92,46.33
SHP100022,ORD100022,PKG100022,2026-01-20,Sylhet DC,Sylhet Hub,Sylhet,Sundarban Courier,Delivered,SEL1030,Nova Retail,Dhaka,1.51,24.78
SHP100023,ORD100023,PKG100023,2026-01-08,Rajshahi DC,Comilla Hub,Comilla,Sundarban Courier,Delivered,SEL1018,Golden Store,Chattogram,0.68,34.24
SHP100024,ORD100024,PKG100024,2026-07-04,Khulna DC,Rangpur Hub,Rangpur,RedX,Delivered,SEL1030,Nova Retail,Dhaka,7.3,24.58
SHP100025,ORD100025,PKG100025,2025-10-03,Khulna DC,Comilla Hub,Comilla,Steadfast Courier,Delivered,SEL1009,Elite Emporium,Dhaka,10.02,27.36
SHP100026,ORD100026,PKG100026,2026-05-13,Dhaka Hub,Mymensingh Hub,Mymensingh,Sundarban Courier,Delivered,SEL1049,Suncity Gallery,Khulna,4.95,46.91
SHP100027,ORD100027,PKG100027,2026-05-17,Dhaka Hub,Rajshahi Hub,Rajshahi,RedX,Delivered,SEL1043,Smart Emporium,Barisal,1.27,27.98
SHP100028,ORD100028,PKG100028,2026-01-10,Chattogram DC,Sylhet Hub,Sylhet,Steadfast Courier,In Transit,SEL1008,Elite Depot,Chattogram,4.61,41.85
SHP100029,ORD100029,PKG100029,2025-11-30,Chattogram DC,Narayanganj Hub,Narayanganj,eCourier,Delivered,SEL1034,Riverside Emporium,Dhaka,4.31,33.0
SHP100030,ORD100030,PKG100030,2025-09-02,Dhaka Hub,Mymensingh Hub,Mymensingh,Pathao Courier,Delayed,SEL1032,Prime Trading,Khulna,7.79,32.48
SHP100031,ORD100031,PKG100031,2026-07-22,Rajshahi DC,Comilla Hub,Comilla,Steadfast Courier,Delivered Late,SEL1012,Elite Traders,Dhaka,7.9,29.23
SHP100032,ORD100032,PKG100032,2026-07-25,Dhaka Hub,Barisal Hub,Barisal,Pathao Courier,Delivered Late,SEL1007,Delta Trading,Dhaka,1.42,34.96
SHP100033,ORD100033,PKG100033,2025-11-23,Khulna DC,Barisal Hub,Barisal,RedX,Delivered,SEL1045,Smart Store,Dhaka,5.16,28.28
SHP100034,ORD100034,PKG100034,2025-09-12,Sylhet DC,Dhaka Hub,Dhaka,RedX,Delivered,SEL1015,Fresh Trading,Dhaka,7.78,37.61
SHP100035,ORD100035,PKG100035,2025-10-13,Khulna DC,Dhaka Hub,Dhaka,eCourier,Delayed,SEL1031,Prime Bazaar,Chattogram,3.25,34.78
SHP100036,ORD100036,PKG100036,2025-09-24,Chattogram DC,Mymensingh Hub,Mymensingh,Pathao Courier,Delivered,SEL1014,Fresh Hub,Khulna,5.0,35.72
