shipment_id,order_code,package_code,order_date,warehouse,origin_city,seller_code,shop_name,seller_region,destination_region,carrier,sku,product,category,qty,weight_kg,order_value,shipping_cost,expected_delivery,actual_delivery,status,delay_reason
SHP100000,ORD100000,PKG100000,2026-03-04,Dhaka Hub,Dhaka,SEL1012,Elite Traders,Dhaka,Chattogram,Pathao Courier,SKU1038,Perfume,Beauty,4,8.44,4548.24,288.18,2026-03-07,2026-03-11,Delivered Late,Warehouse backlog
SHP100001,ORD100001,PKG100001,2025-09-16,Dhaka Hub,Dhaka,SEL1010,Elite Gallery,Sylhet,Barisal,eCourier,SKU1028,Curtain Set,Home & Living,1,11.09,821.16,250.05,2025-09-21,2025-09-21,Delivered,
SHP100002,ORD100002,PKG100002,2025-12-13,Dhaka Hub,Dhaka,SEL1025,Metro Hub,Sylhet,Chattogram,Sundarban Courier,SKU1014,Sneakers,Apparel,5,5.98,10394.25,188.87,2025-12-18,2025-12-18,Delivered,
SHP100003,ORD100003,PKG100003,2026-01-29,Sylhet DC,Sylhet,SEL1043,Smart Emporium,Barisal,Rajshahi,Pathao Courier,SKU1042,Mustard Oil 1L,Grocery,2,1.37,6392.3,102.75,2026-02-03,2026-02-03,Delivered,
SHP100004,ORD100004,PKG100004,2026-08-02,Khulna DC,Khulna,SEL1043,Smart Emporium,Barisal,Dhaka,Sundarban Courier,SKU1007,Bluetooth Speaker (V2),Electronics,2,9.24,7138.76,239.91,2026-08-05,2026-08-05,Delivered,
SHP100005,ORD100005,PKG100005,2026-08-10,Chattogram DC,Chattogram,SEL1011,Elite Outlet,Chattogram,Mymensingh,eCourier,SKU1020,Bedsheet Set,Home & Living,1,0.32,3447.68,71.55,2026-08-14,,Delayed,Vehicle breakdown
SHP100006,ORD100006,PKG100006,2025-10-23,Dhaka Hub,Dhaka,SEL1043,Smart Emporium,Barisal,Rangpur,Sundarban Courier,SKU1038,Perfume,Beauty,2,9.22,2274.12,293.12,2025-10-27,2025-10-27,Delivered,
SHP100007,ORD100007,PKG100007,2026-07-06,Rajshahi DC,Rajshahi,SEL1053,Trendy Store,Chattogram,Dhaka,Steadfast Courier,SKU1018,Denim Jacket,Apparel,3,1.2,11250.6,115.46,2026-07-11,2026-07-11,Delivered,
SHP100008,ORD100008,PKG100008,2025-10-02,Khulna DC,Khulna,SEL1013,Elite Trading,Dhaka,Rajshahi,eCourier,SKU1022,Table Lamp,Home & Living,4,1.46,17490.16,121.78,2025-10-07,2025-10-07,Delivered,
SHP100009,ORD100009,PKG100009,2026-05-18,Khulna DC,Khulna,SEL1001,Bengal Emporium,Rangpur,Rajshahi,Steadfast Courier,SKU1010,Cotton T-Shirt,Apparel,4,9.42,7051.88,251.17,2026-05-21,2026-05-21,Delivered,
SHP100010,ORD100010,PKG100010,2026-06-20,Sylhet DC,Sylhet,SEL1057,Value Hub,Dhaka,Rangpur,Steadfast Courier,SKU1010,Cotton T-Shirt,Apparel,3,8.34,5288.91,216.88,2026-06-23,,In Transit,
SHP100011,ORD100011,PKG100011,2026-07-06,Sylhet DC,Sylhet,SEL1031,Prime Bazaar,Chattogram,Rajshahi,Pathao Courier,SKU1023,Table Lamp (V2),Home & Living,1,6.83,4035.08,282.53,2026-07-08,2026-07-13,Delivered Late,Vehicle breakdown
SHP100012,ORD100012,PKG100012,2025-11-17,Dhaka Hub,Dhaka,SEL1046,Smart Traders,Comilla,Rajshahi,RedX,SKU1035,Hair Serum (V2),Beauty,2,9.88,1948.4,337.04,2025-11-20,2025-11-20,Delivered,
SHP100013,ORD100013,PKG100013,2026-07-07,Dhaka Hub,Dhaka,SEL1019,Green Fashion House,Rajshahi,Comilla,Pathao Courier,SKU1039,Perfume (V2),Beauty,4,10.25,12254.76,230.62,2026-07-10,2026-07-10,Delivered,
SHP100014,ORD100014,PKG100014,2025-10-11,Rajshahi DC,Rajshahi,SEL1017,Golden Outlet,Khulna,Barisal,Steadfast Courier,SKU1023,Table Lamp (V2),Home & Living,4,5.6,16140.32,172.47,2025-10-13,,Delayed,Weather disruption
SHP100015,ORD100015,PKG100015,2026-02-27,Chattogram DC,Chattogram,SEL1013,Elite Trading,Dhaka,Comilla,Pathao Courier,SKU1002,Power Bank,Electronics,3,11.96,11654.7,268.41,2026-03-02,,In Transit,
SHP100016,ORD100016,PKG100016,2026-02-10,Khulna DC,Khulna,SEL1013,Elite Trading,Dhaka,Comilla,RedX,SKU1021,Bedsheet Set (V2),Home & Living,3,4.42,5076.57,158.27,2026-02-15,2026-02-15,Delivered,
SHP100017,ORD100017,PKG100017,2025-12-19,Khulna DC,Khulna,SEL1028,Modern Depot,Khulna,Comilla,eCourier,SKU1001,Wireless Earbuds (V2),Electronics,3,2.22,6177.36,151.8,2025-12-24,2025-12-24,Delivered,
SHP100018,ORD100018,PKG100018,2025-09-08,Chattogram DC,Chattogram,SEL1006,Delta Store,Rajshahi,Narayanganj,Pathao Courier,SKU1023,Table Lamp (V2),Home & Living,5,10.18,20175.4,234.55,2025-09-11,2025-09-11,Delivered,
SHP100019,ORD100019,PKG100019,2026-05-26,Chattogram DC,Chattogram,SEL1050,Suncity Retail,Chattogram,Rangpur,eCourier,SKU1043,Mustard Oil 1L (V2),Grocery,3,5.1,4526.37,222.39,2026-05-28,2026-05-28,Delivered,
SHP100020,ORD100020,PKG100020,2025-12-26,Khulna DC,Khulna,SEL1030,Nova Retail,Dhaka,Barisal,Pathao Courier,SKU1029,Curtain Set (V2),Home & Living,3,10.52,9363.78,339.78,2025-12-31,2025-12-31,Delivered,
